time_from_start,panda_joint1_pos,panda_joint1_vel,panda_joint2_pos,panda_joint2_vel,panda_joint3_pos,panda_joint3_vel,panda_joint4_pos,panda_joint4_vel,panda_joint5_pos,panda_joint5_vel,panda_joint6_pos,panda_joint6_vel,panda_joint7_pos,panda_joint7_vel,eef_pos_x,eef_pos_y,eef_pos_z,eef_orient_x,eef_orient_y,eef_orient_z,eef_orient_w
2.133,0.000139345,-0.00435204,-0.785813,0.0433618,4.88752e-05,0.000906613,-2.35412,0.0383147,-2.58421e-05,0.000875308,1.57647,0.043403,0.785379,0.00202683,0.307156,6.68414e-05,0.591733,-0.923914,0.38258,-0.00357124,0.00147339
2.166,0.000153013,0.0013311,-0.782452,0.13317,8.90958e-05,-0.00407501,-2.35119,0.105655,-4.51821e-05,-0.00203428,1.57839,0.0905563,0.785399,0.00113327,0.307437,5.96594e-05,0.591892,-0.923909,0.382591,-0.00378189,0.00153416
2.2,0.000195756,-0.00472889,-0.776053,0.237247,0.000140269,0.0171354,-2.34628,0.174653,1.53497e-05,0.0133261,1.58179,0.111506,0.785397,-0.00218386,0.30858,7.82052e-05,0.592412,-0.92391,0.382579,-0.00447938,0.00179754
2.233,0.000239302,0.00590737,-0.767341,0.285993,0.000159033,-0.0010066,-2.34061,0.175417,5.98104e-05,0.000866183,1.58588,0.117376,0.785386,-0.00148186,0.310716,0.000119108,0.593056,-0.923921,0.382539,-0.00535821,0.0021755
2.266,0.000263352,-0.00386697,-0.757361,0.312644,0.000151401,-0.00216407,-2.33495,0.165597,7.15546e-05,-0.0088404,1.58993,0.125975,0.785375,0.00408712,0.313551,0.000145991,0.593386,-0.923931,0.382507,-0.00583503,0.00239073
2.3,0.000236211,0.00609401,-0.745446,0.40146,0.000140631,-0.00242447,-2.32808,0.252258,-7.60927e-06,-0.000569226,1.59441,0.148625,0.78539,-0.000730335,0.31672,0.000152861,0.593284,-0.923938,0.382493,-0.00570579,0.00234702
2.333,0.00025608,0.00109188,-0.730164,0.475987,0.000155106,-0.00383636,-2.31846,0.28712,-8.42607e-06,-0.00346424,1.60046,0.197943,0.785398,0.000841095,0.320481,0.000132834,0.593142,-0.92393,0.382516,-0.00545701,0.00220568
2.366,0.000259226,0.00607082,-0.712701,0.551638,0.000155675,-0.00224324,-2.30759,0.346967,2.01638e-05,-0.000184549,1.60707,0.196751,0.78539,-0.00124285,0.325378,0.000146976,0.593314,-0.923934,0.382504,-0.00563968,0.00227671
2.4,0.000267835,0.00380498,-0.691371,0.606467,0.000137701,-0.00701107,-2.29417,0.387235,1.01438e-05,-0.00537222,1.61474,0.202331,0.785386,-0.00175433,0.330966,0.00015337,0.593336,-0.923936,0.382499,-0.00564118,0.00229369
2.433,0.00025328,-0.000492923,-0.669785,0.651382,0.000133944,-0.00344804,-2.28029,0.413893,5.98145e-06,-0.00472915,1.62212,0.228906,0.785386,0.00114488,0.337791,0.000150202,0.59327,-0.923937,0.382498,-0.00553336,0.00225113
