time_from_start,panda_joint1_pos,panda_joint2_pos,panda_joint3_pos,panda_joint4_pos,panda_joint5_pos,panda_joint6_pos,panda_joint7_pos,panda_joint1_vel,panda_joint2_vel,panda_joint3_vel,panda_joint4_vel,panda_joint5_vel,panda_joint6_vel,panda_joint7_vel,ee_pos_x,ee_pos_y,ee_pos_z,ee_ori_x,ee_ori_y,ee_ori_z,ee_ori_w
2.67013,0.00017209,-7.91732e-06,-1.12463,0.0539536,0.000108647,1.91374e-05,-2.60318,-0.496498,8.02105e-05,1.06926e-05,1.48696,0.550452,0.785378,-3.71026e-05,0.214198,7.78099e-05,0.555047,0.923919,-0.382566,0.00389042,-0.00160212
2.7017,0.000171735,-1.49141e-05,-1.12205,0.111453,0.000109166,1.45403e-05,-2.61766,-0.44082,8.04428e-05,4.51688e-06,1.50402,0.552273,0.785376,-4.14834e-05,0.216693,7.78099e-05,0.549281,0.923919,-0.382566,0.00389043,-0.00160211
2.73314,0.00017115,-2.04056e-05,-1.11761,0.155705,0.000109563,1.00094e-05,-2.63096,-0.374237,8.04955e-05,-9.02435e-07,1.52176,0.529942,0.785375,-4.33044e-05,0.219545,7.78099e-05,0.543684,0.923919,-0.382566,0.00389043,-0.00160211
2.77017,0.000170328,-2.63407e-05,-1.11131,0.20213,0.000109837,5.79467e-06,-2.64301,-0.316044,8.03665e-05,-6.19706e-06,1.54011,0.518174,0.785373,-4.57885e-05,0.222743,7.78099e-05,0.538277,0.923919,-0.382566,0.00389043,-0.0016021
2.80511,0.000169263,-3.43266e-05,-1.10313,0.26327,0.000109984,2.42074e-06,-2.65372,-0.28936,8.00551e-05,-1.16599e-05,1.55901,0.55263,0.785372,-5.19966e-05,0.226274,7.78099e-05,0.533081,0.923919,-0.382566,0.00389043,-0.0016021
2.83935,0.000167956,-3.97057e-05,-1.09311,0.303734,0.000110005,-1.05278e-06,-2.66304,-0.240507,7.95618e-05,-1.61756e-05,1.57834,0.544241,0.78537,-5.40391e-05,0.230124,7.78099e-05,0.528117,0.923919,-0.382566,0.00389044,-0.00160209
2.87689,0.000166408,-4.53048e-05,-1.08129,0.345368,0.000109903,-4.4636e-06,-2.67088,-0.192177,7.88883e-05,-2.0766e-05,1.598,0.537545,0.785368,-5.61466e-05,0.234279,7.78099e-05,0.523404,0.923919,-0.382566,0.00389044,-0.00160209
2.91295,0.000164628,-5.33559e-05,-1.06774,0.405417,0.000109679,-7.95559e-06,-2.67721,-0.155668,7.80377e-05,-2.64375e-05,1.61788,0.561085,0.785366,-6.12417e-05,0.238721,7.78099e-05,0.518962,0.923919,-0.382566,0.00389044,-0.00160208
2.94789,0.000162625,-6.10627e-05,-1.05254,0.462685,0.00010934,-1.14474e-05,-2.68196,-0.114112,7.70145e-05,-3.20847e-05,1.63783,0.576797,0.785364,-6.55555e-05,0.243433,7.78099e-05,0.514808,0.923919,-0.382566,0.00389044,-0.00160208
2.982,0.000160414,-6.85174e-05,-1.03581,0.518083,0.00010889,-1.49065e-05,-2.6851,-0.0689292,7.58243e-05,-3.77573e-05,1.65771,0.587012,0.785361,-6.93091e-05,0.248397,7.78099e-05,0.510958,0.923919,-0.382566,0.00389044,-0.00160208
3.01523,0.000158013,-7.57993e-05,-1.01768,0.57241,0.000108337,-1.83256e-05,-2.68662,-0.0209028,7.44741e-05,-4.35131e-05,1.67736,0.593313,0.785359,-7.26741e-05,0.253593,7.78099e-05,0.507426,0.923919,-0.382566,0.00389044,-0.00160208
3.04761,0.000155444,-8.2594e-05,-0.998284,0.62347,0.000107689,-2.16252e-05,-2.6865,0.0298191,7.29722e-05,-4.91939e-05,1.69663,0.593651,0.785356,-7.54123e-05,0.259,7.78099e-05,0.504229,0.923919,-0.382566,0.00389044,-0.00160208
3.07923,0.00015273,-8.89996e-05,-0.977796,0.672166,0.000106955,-2.48303e-05,-2.68473,0.0830469,7.1328e-05,-5.48737e-05,1.71535,0.589119,0.785354,-7.76792e-05,0.264598,7.78099e-05,0.501376,0.923919,-0.382566,0.00389044,-0.00160208
3.10998,0.000149896,-9.52624e-05,-0.956384,0.7205,0.000106142,-2.80181e-05,-2.68134,0.139025,6.95524e-05,-6.07188e-05,1.73337,0.581476,0.785352,-7.97417e-05,0.270363,7.78099e-05,0.498882,0.923919,-0.382566,0.00389044,-0.00160208
3.13973,0.000146969,-0.000101094,-0.934226,0.766426,0.000105261,-3.11205e-05,-2.67635,0.197594,6.76572e-05,-6.65597e-05,1.75054,0.568833,0.785349,-8.13959e-05,0.276274,7.78099e-05,0.496754,0.923919,-0.382566,0.00389044,-0.00160208
3.16856,0.000143976,-0.000106276,-0.911504,0.808383,0.00010432,-3.40813e-05,-2.66979,0.258412,6.56557e-05,-7.22483e-05,1.7667,0.549971,0.785347,-8.25151e-05,0.282307,7.78099e-05,0.495001,0.923919,-0.382566,0.00389044,-0.00160209
3.19645,0.000140944,-0.00011122,-0.888395,0.849618,0.000103329,-3.70449e-05,-2.66172,0.322612,6.3562e-05,-7.80544e-05,1.78174,0.527007,0.785345,-8.34707e-05,0.288438,7.78099e-05,0.49363,0.923919,-0.382566,0.00389044,-0.00160209
3.22324,0.000137898,-0.000115693,-0.865073,0.888427,0.000102297,-3.99448e-05,-2.65219,0.38968,6.13913e-05,-8.37938e-05,1.79553,0.498746,0.785342,-8.41338e-05,0.294642,7.78099e-05,0.492648,0.923919,-0.382566,0.00389044,-0.00160209
3.24903,0.000134863,-0.000119642,-0.841704,0.9245,0.000101231,-4.27793e-05,-2.64127,0.459882,5.91593e-05,-8.94131e-05,1.80798,0.464619,0.78534,-8.45003e-05,0.300897,7.78099e-05,0.492057,0.923919,-0.382566,0.00389043,-0.00160209
3.2737,0.000131863,-0.000118224,-0.81844,0.920015,0.000100139,-4.37248e-05,-2.62902,0.510925,5.68824e-05,-9.10717e-05,1.819,0.40909,0.785338,-8.13389e-05,0.307176,7.78099e-05,0.491859,0.923919,-0.382566,0.00389043,-0.0016021
3.29936,0.000128917,-0.000112106,-0.795423,0.87963,9.90306e-05,-4.2923e-05,-2.61554,0.541588,5.4577e-05,-8.90449e-05,1.82853,0.338043,0.785336,-7.52755e-05,0.313455,7.78099e-05,0.492057,0.923919,-0.382566,0.00389043,-0.0016021
3.32562,0.000126044,-0.00010674,-0.77278,0.845308,9.79111e-05,-4.23162e-05,-2.60089,0.572613,5.22596e-05,-8.73634e-05,1.83653,0.272695,0.785334,-7.01423e-05,0.319709,7.78099e-05,0.492648,0.923919,-0.382566,0.00389043,-0.0016021
3.35237,0.00012326,-0.000101037,-0.750622,0.808383,9.67876e-05,-4.1489e-05,-2.58518,0.598946,4.99463e-05,-8.51492e-05,1.84297,0.209437,0.785332,-6.51652e-05,0.325914,7.78099e-05,0.49363,0.923919,-0.382566,0.00389043,-0.0016021
3.37973,0.000120578,-9.50564e-05,-0.729047,0.769148,9.56662e-05,-4.04549e-05,-2.56848,0.620724,4.76526e-05,-8.24265e-05,1.84784,0.148424,0.785331,-6.03483e-05,0.332045,7.78099e-05,0.495001,0.923919,-0.382566,0.00389043,-0.0016021
3.40761,0.00011801,-8.89147e-05,-0.708138,0.728285,9.45528e-05,-3.92368e-05,-2.55088,0.637877,4.53932e-05,-7.92558e-05,1.85116,0.0904082,0.785329,-5.57381e-05,0.338077,7.78099e-05,0.496754,0.923919,-0.382566,0.00389043,-0.0016021
3.43616,0.000115563,-8.26672e-05,-0.687964,0.686078,9.34526e-05,-3.78475e-05,-2.53248,0.65057,4.31815e-05,-7.5679e-05,1.85293,0.0355082,0.785327,-5.13273e-05,0.343988,7.78099e-05,0.498882,0.923919,-0.382566,0.00389043,-0.0016021
